Method,LoggingLevel,Log
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void startDataNode(org.apache.hadoop.conf.Configuration,java.util.List,org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter$SecureResources)>",info,Starting DataNode with maxLockedMemory =  <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void startDataNode(org.apache.hadoop.conf.Configuration,java.util.List,org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter$SecureResources)>",info,dnUserName =  <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void startDataNode(org.apache.hadoop.conf.Configuration,java.util.List,org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter$SecureResources)>",info,supergroup =  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void shutdownDatanode(boolean)>,info,shutdownDatanode command received (upgrade= forUpgrade ). Shutting down Datanode... 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void shutdown()>,info,Stopped plug-in  p 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void shutdown()>,info,"Waiting for threadgroup to exit, active threads is  <*> "
<org.apache.hadoop.hdfs.server.datanode.DataNode: void shutdown()>,info,Shutdown complete.
<org.apache.hadoop.hdfs.server.datanode.DataNode: void shutdown()>,warn,ServicePlugin  p  could not be stopped 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void shutdown()>,warn,Exception shutting down DataNode
<org.apache.hadoop.hdfs.server.datanode.DataNode: void shutdown()>,warn,Received exception in BlockPoolManager#shutDownAll: 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void shutdown()>,warn,Exception when unlocking storage:  <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void secureMain(java.lang.String[],org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter$SecureResources)>",fatal,Exception in secureMain
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void secureMain(java.lang.String[],org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter$SecureResources)>",warn,Exiting Datanode
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void secureMain(java.lang.String[],org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter$SecureResources)>",warn,Exiting Datanode
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void secureMain(java.lang.String[],org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter$SecureResources)>",warn,Exiting Datanode
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void registerBlockPoolWithSecretManager(org.apache.hadoop.hdfs.server.protocol.DatanodeRegistration,java.lang.String)>",info,"Block token params received from NN: for block pool  blockPoolId  keyUpdateInterval= <*>  min(s), tokenLifetime= <*>  min(s) "
<org.apache.hadoop.hdfs.server.datanode.DataNode: void refreshVolumes(java.lang.String)>,info,Adding new volumes:  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void refreshVolumes(java.lang.String)>,info,Storage directory is loaded:  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void refreshVolumes(java.lang.String)>,info,Deactivating volumes:  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void recoverBlock(org.apache.hadoop.hdfs.server.protocol.BlockRecoveryCommand$RecoveringBlock)>,warn,Recovery for replica  <*>  on data-node  id  is already in progress. Recovery id =  <*>  is aborted. 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void recoverBlock(org.apache.hadoop.hdfs.server.protocol.BlockRecoveryCommand$RecoveringBlock)>,warn,Failed to obtain replica info for block (= <*> ) from datanode (= id ) 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void reconfigurePropertyImpl(java.lang.String,java.lang.String)>",info,Reconfiguring  property  to  newVal 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void notifyNamenodeReceivingBlock(org.apache.hadoop.hdfs.protocol.ExtendedBlock,java.lang.String)>",error,Cannot find BPOfferService for reporting block receiving for bpid= <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void notifyNamenodeReceivedBlock(org.apache.hadoop.hdfs.protocol.ExtendedBlock,java.lang.String,java.lang.String)>",error,Cannot find BPOfferService for reporting block received for bpid= <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void notifyNamenodeDeletedBlock(org.apache.hadoop.hdfs.protocol.ExtendedBlock,java.lang.String)>",error,Cannot find BPOfferService for reporting block deleted for bpid= <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void logRecoverBlock(java.lang.String,org.apache.hadoop.hdfs.server.protocol.BlockRecoveryCommand$RecoveringBlock)>",info,"who  calls recoverBlock( <*> , targets=[ <*> ] , newGenerationStamp= <*> ) "
<org.apache.hadoop.hdfs.server.datanode.DataNode: void join()>,warn,Received exception in Datanode#join:  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void initStorage(org.apache.hadoop.hdfs.server.protocol.NamespaceInfo)>,info,Setting up storage: nsid= <*> ;bpid= <*> ;lv= <*> ;nsInfo= nsInfo ;dnuuid= <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void initIpcServer(org.apache.hadoop.conf.Configuration)>,info,Opened IPC server at  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void initDirectoryScanner(org.apache.hadoop.conf.Configuration)>,info,Periodic Directory Tree Verification scan is disabled because  reason#_ 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void initDataXceiver(org.apache.hadoop.conf.Configuration)>,info,Opened streaming server at  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void initDataXceiver(org.apache.hadoop.conf.Configuration)>,info,Listening on UNIX domain socket:  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void initDataBlockScanner(org.apache.hadoop.conf.Configuration)>,info,Periodic Block Verification scan disabled because  reason#_ 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void handleDiskError(java.lang.String)>,warn,DataNode.handleDiskError: Keep Running:  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void handleDiskError(java.lang.String)>,warn,DataNode is shutting down:  errMsgr 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void deleteBlockPool(java.lang.String,boolean)>",info,"deleteBlockPool command received for block pool  blockPoolId , force= force "
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void deleteBlockPool(java.lang.String,boolean)>",warn,"The block pool  blockPoolId  is still running, cannot be deleted. "
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void closeBlock(org.apache.hadoop.hdfs.protocol.ExtendedBlock,java.lang.String,java.lang.String)>",warn,Cannot find BPOfferService for reporting block received for bpid= <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void checkReadAccess(org.apache.hadoop.hdfs.protocol.ExtendedBlock)>,debug,Got:  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: void checkDiskErrorAsync()>,info,Starting CheckDiskError Thread
<org.apache.hadoop.hdfs.server.datanode.DataNode: void checkDatanodeUuid()>,info,Generated and persisted new Datanode UUID  <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void checkBlockToken(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.security.token.Token,org.apache.hadoop.hdfs.security.token.block.BlockTokenSecretManager$AccessMode)>",debug,Got:  <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void <init>(org.apache.hadoop.conf.Configuration,java.util.List,org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter$SecureResources)>",info,File descriptor passing is enabled.
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void <init>(org.apache.hadoop.conf.Configuration,java.util.List,org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter$SecureResources)>",info,Configured hostname is  <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: void <init>(org.apache.hadoop.conf.Configuration,java.util.List,org.apache.hadoop.hdfs.server.datanode.SecureDataNodeStarter$SecureResources)>",warn,File descriptor passing is disabled because  <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: org.apache.hadoop.hdfs.server.protocol.InterDatanodeProtocol createInterDataNodeProtocolProxy(org.apache.hadoop.hdfs.protocol.DatanodeID,org.apache.hadoop.conf.Configuration,int,boolean)>",debug,Connecting to datanode  <*>  addr= <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: org.apache.hadoop.hdfs.protocol.BlockLocalPathInfo getBlockLocalPathInfo(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.security.token.Token)>",trace,getBlockLocalPathInfo successful block= block  blockfile  <*>  metafile  <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: org.apache.hadoop.hdfs.protocol.BlockLocalPathInfo getBlockLocalPathInfo(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.security.token.Token)>",trace,getBlockLocalPathInfo for block= block  returning null 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: org.apache.hadoop.hdfs.net.DomainPeerServer getDomainPeerServer(org.apache.hadoop.conf.Configuration,int)>",warn,"Although short-circuit local reads are configured, they are disabled because you didn\'t configure dfs.domain.socket.path"
<org.apache.hadoop.hdfs.server.datanode.DataNode: java.util.List getStorageLocations(org.apache.hadoop.conf.Configuration)>,error,Failed to initialize storage directory  locationString . Exception details:  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode: java.util.List getStorageLocations(org.apache.hadoop.conf.Configuration)>,error,Failed to initialize storage directory  locationString . Exception details:  <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataNode: java.util.List checkStorageLocations(java.util.Collection,org.apache.hadoop.fs.LocalFileSystem,org.apache.hadoop.hdfs.server.datanode.DataNode$DataNodeDiskChecker)>",warn,Invalid dfs.datanode.data.dir  <*>  :  
"<org.apache.hadoop.hdfs.server.datanode.DataNode: java.io.FileInputStream[] requestShortCircuitFdsForRead(org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.security.token.Token,int)>",debug,requestShortCircuitFdsForRead failed
"<org.apache.hadoop.hdfs.server.datanode.DataNode: boolean parseArguments(java.lang.String[],org.apache.hadoop.conf.Configuration)>",error,"-r, --rack arguments are not supported anymore. RackID resolution is handled by the NameNode."
<org.apache.hadoop.hdfs.server.datanode.DataNode$DataTransfer: void run()>,debug,Connecting to datanode  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode$DataTransfer: void run()>,debug,<*> : close-ack= <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode$DataTransfer: void run()>,info,<*> : Transmitted  <*>  (numBytes= <*> ) to  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode$DataTransfer: void run()>,warn,<*> :Failed to transfer  <*>  to  <*>  got  
"<org.apache.hadoop.hdfs.server.datanode.DataNode$DataTransfer: void <init>(org.apache.hadoop.hdfs.server.datanode.DataNode,org.apache.hadoop.hdfs.protocol.DatanodeInfo[],org.apache.hadoop.hdfs.StorageType[],org.apache.hadoop.hdfs.protocol.ExtendedBlock,org.apache.hadoop.hdfs.protocol.datatransfer.BlockConstructionStage,java.lang.String)>",debug,"<*> :  b  (numBytes= <*> ) , stage= stage , clientname= clientname , targets= <*> , target storage types= <*> "
<org.apache.hadoop.hdfs.server.datanode.DataNode$6: void run()>,debug,InterruptedException in check disk error thread
<org.apache.hadoop.hdfs.server.datanode.DataNode$6: void run()>,warn,Unexpected exception occurred while checking disk error   <*> 
<org.apache.hadoop.hdfs.server.datanode.DataNode$4: void run()>,warn,recoverBlocks FAILED:  b 
<org.apache.hadoop.hdfs.server.datanode.DataBlockScanner: void run()>,warn,Block Pool  <*>  is not alive 
<org.apache.hadoop.hdfs.server.datanode.DataBlockScanner: void removeBlockPool(java.lang.String)>,info,Removed bpid= blockPoolId  from blockPoolScannerMap 
"<org.apache.hadoop.hdfs.server.datanode.DataBlockScanner: void deleteBlocks(java.lang.String,org.apache.hadoop.hdfs.protocol.Block[])>",warn,No block pool scanner found for block pool id:  poolId 
"<org.apache.hadoop.hdfs.server.datanode.DataBlockScanner: void deleteBlock(java.lang.String,org.apache.hadoop.hdfs.protocol.Block)>",warn,No block pool scanner found for block pool id:  poolId 
<org.apache.hadoop.hdfs.server.datanode.DataBlockScanner: void addBlockPool(java.lang.String)>,info,"Added bpid= blockPoolId  to blockPoolScannerMap, new size= <*> "
<org.apache.hadoop.hdfs.server.datanode.DataBlockScanner: void addBlock(org.apache.hadoop.hdfs.protocol.ExtendedBlock)>,warn,No block pool scanner found for block pool id:  <*> 
<org.apache.hadoop.hdfs.server.datanode.DataBlockScanner: org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceScanner getNextBPScanner(java.lang.String)>,warn,"No block pool is up, going to wait"
<org.apache.hadoop.hdfs.server.datanode.DataBlockScanner: org.apache.hadoop.hdfs.server.datanode.BlockPoolSliceScanner getNextBPScanner(java.lang.String)>,warn,Received exception:  <*> 
"<org.apache.hadoop.hdfs.server.datanode.DataBlockScanner$Servlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",append,Periodic block scanner is not running. Please check the datanode log if this is unexpected.
"<org.apache.hadoop.hdfs.server.datanode.DataBlockScanner$Servlet: void doGet(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)>",warn,Periodic block scanner is not running
"<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void trySendErrorReport(int,java.lang.String)>",warn,Error reporting an error to NameNode  <*> 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void triggerBlockReport(org.apache.hadoop.hdfs.client.BlockReportOptions)>,info,<*> : scheduling an incremental block report. 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void triggerBlockReport(org.apache.hadoop.hdfs.client.BlockReportOptions)>,info,<*> : scheduling a full block report. 
"<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void sleepAndLogInterrupts(int,java.lang.String)>",info,BPOfferService  this  interrupted while  stateString 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void run()>,error,Initialization failed for  this   <*> 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void run()>,error,Exception in BPOfferService for  this 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void run()>,fatal,Initialization failed for  this . Exiting.  
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void run()>,info,this  starting to offer service 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void run()>,warn,Ending block pool service for:  this 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void run()>,warn,Ending block pool service for:  this 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void run()>,warn,Unexpected exception in block pool  this 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void run()>,warn,Ending block pool service for:  this 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void run()>,warn,Ending block pool service for:  this 
"<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void reportBadBlocks(org.apache.hadoop.hdfs.protocol.ExtendedBlock,java.lang.String,org.apache.hadoop.hdfs.StorageType)>",warn,Failed to report bad block  block  to namenode :   Exception 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void register()>,info,this  beginning handshake with NN 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void register()>,info,Problem connecting to server:  <*>  : <*> 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void register()>,info,Problem connecting to server:  <*> 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void register()>,info,Block pool  this  successfully registered with NN 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void offerService()>,info,For namenode  <*>  using  DELETEREPORT_INTERVAL of  <*>  msec   BLOCKREPORT_INTERVAL of  <*> msec  CACHEREPORT_INTERVAL of  <*> msec  Initial delay:  <*> msec ; heartBeatInterval= <*> 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void offerService()>,info,Took  <*> ms to process  <*>  commands from NN 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void offerService()>,warn,BPOfferService for  this  interrupted 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void offerService()>,warn,this  is shutting down 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void offerService()>,warn,RemoteException in offerService
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void offerService()>,warn,IOException in offerService
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void handleRollingUpgradeStatus(org.apache.hadoop.hdfs.server.protocol.HeartbeatResponse)>,error,Invalid BlockPoolId  <*>  in HeartbeatResponse. Expected  <*> 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: void checkNNVersion(org.apache.hadoop.hdfs.server.protocol.NamespaceInfo)>,info,Reported NameNode version \' <*> \' does not match  DataNode version \' <*> \' but is within acceptable  limits. Note: This is normal during a rolling upgrade. 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: org.apache.hadoop.hdfs.server.protocol.NamespaceInfo retrieveNamespaceInfo()>,debug,this  received versionRequest response:  <*> 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: org.apache.hadoop.hdfs.server.protocol.NamespaceInfo retrieveNamespaceInfo()>,warn,Problem connecting to server:  <*> 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: org.apache.hadoop.hdfs.server.protocol.NamespaceInfo retrieveNamespaceInfo()>,warn,Problem connecting to server:  <*> 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: org.apache.hadoop.hdfs.server.protocol.HeartbeatResponse sendHeartBeat()>,debug,Sending heartbeat with  <*>  storage reports from service actor:  this 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: org.apache.hadoop.hdfs.server.protocol.DatanodeCommand cacheReport()>,debug,Sending cacheReport from service actor:  this 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: org.apache.hadoop.hdfs.server.protocol.DatanodeCommand cacheReport()>,debug,CacheReport of  <*>  block(s) took  <*>  msec to generate and  <*>  msecs for RPC and NN processing 
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: java.util.List blockReport()>,info,"<*> uccessfully sent block report x <*> ,  containing  <*>  storage report(s), of which we sent  i$ .  The reports had  totalBlockCount  total blocks and used  kvPair#  RPC(s). This took  <*>  msec to generate and  <*>  msecs for RPC and NN processing.  Got back  <*> . "
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: java.util.List blockReport()>,info,"<*> uccessfully sent block report x <*> ,  containing  <*>  storage report(s), of which we sent  i$ .  The reports had  totalBlockCount  total blocks and used  kvPair#  RPC(s). This took  brCreateCost  msec to generate and  brSendCost  msecs for RPC and NN processing.  Got back  <*> . "
<org.apache.hadoop.hdfs.server.datanode.BPServiceActor: boolean processCommand(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand[])>,warn,Error processing datanode Command
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: void updateActorStatesFromHeartbeat(org.apache.hadoop.hdfs.server.datanode.BPServiceActor,org.apache.hadoop.hdfs.server.protocol.NNHAStatusHeartbeat)>",info,Namenode  actor  trying to claim ACTIVE state with  txid= <*> 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: void updateActorStatesFromHeartbeat(org.apache.hadoop.hdfs.server.datanode.BPServiceActor,org.apache.hadoop.hdfs.server.protocol.NNHAStatusHeartbeat)>",info,Acknowledging ACTIVE Namenode  actor 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: void updateActorStatesFromHeartbeat(org.apache.hadoop.hdfs.server.datanode.BPServiceActor,org.apache.hadoop.hdfs.server.protocol.NNHAStatusHeartbeat)>",info,Namenode  actor  taking over ACTIVE state from  <*>  at higher txid= <*> 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: void updateActorStatesFromHeartbeat(org.apache.hadoop.hdfs.server.datanode.BPServiceActor,org.apache.hadoop.hdfs.server.protocol.NNHAStatusHeartbeat)>",info,Namenode  actor  relinquishing ACTIVE state with  txid= <*> 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: void updateActorStatesFromHeartbeat(org.apache.hadoop.hdfs.server.datanode.BPServiceActor,org.apache.hadoop.hdfs.server.protocol.NNHAStatusHeartbeat)>",warn,NN  actor  tried to claim ACTIVE state at txid= <*>  but there was already a more recent claim at txid= <*> 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: void reportRemoteBadBlock(org.apache.hadoop.hdfs.protocol.DatanodeInfo,org.apache.hadoop.hdfs.protocol.ExtendedBlock)>",warn,Couldn\'t report bad block  block  to  actor 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromStandby(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",info,DatanodeCommand action from standby: DNA_ACCESSKEYUPDATE
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromStandby(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",warn,Got a command from standby NN - ignoring command: <*> 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromStandby(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",warn,Unknown DatanodeCommand action:  <*> 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromActor(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",info,DatanodeCommand action : DNA_REGISTER from  <*>  with  <*>  state 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromActive(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",info,DatanodeCommand action: DNA_CACHE for  <*>  of [ <*> ] 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromActive(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",info,DatanodeCommand action: DNA_UNCACHE for  <*>  of [ <*> ] 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromActive(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",info,Got finalize command for block pool  <*> 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromActive(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",info,DatanodeCommand action: DNA_ACCESSKEYUPDATE
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromActive(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",info,DatanodeCommand action: DNA_BALANCERBANDWIDTHUPDATE
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromActive(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",info,Updating balance throttler bandwidth from  <*>  bytes/s  to:  <*>  bytes/s. 
"<org.apache.hadoop.hdfs.server.datanode.BPOfferService: boolean processCommandFromActive(org.apache.hadoop.hdfs.server.protocol.DatanodeCommand,org.apache.hadoop.hdfs.server.datanode.BPServiceActor)>",warn,Unknown DatanodeCommand action:  <*> 
"<org.apache.hadoop.hdfs.server.datanode.BlockSender: void readChecksum(byte[],int,int)>",warn, Could not read or failed to veirfy checksum for data at offset  <*>  for block  <*> 
<org.apache.hadoop.hdfs.server.datanode.BlockSender: void close()>,warn,Unable to drop cache on file close
"<org.apache.hadoop.hdfs.server.datanode.BlockSender: void <init>(org.apache.hadoop.hdfs.protocol.ExtendedBlock,long,long,boolean,boolean,boolean,org.apache.hadoop.hdfs.server.datanode.DataNode,java.lang.String,org.apache.hadoop.hdfs.server.datanode.CachingStrategy)>",debug,Bumping up the client provided block\'s genstamp to latest  <*>  for block  block 
"<org.apache.hadoop.hdfs.server.datanode.BlockSender: void <init>(org.apache.hadoop.hdfs.protocol.ExtendedBlock,long,long,boolean,boolean,boolean,org.apache.hadoop.hdfs.server.datanode.DataNode,java.lang.String,org.apache.hadoop.hdfs.server.datanode.CachingStrategy)>",debug,"block= block , replica= <*> "
"<org.apache.hadoop.hdfs.server.datanode.BlockSender: void <init>(org.apache.hadoop.hdfs.protocol.ExtendedBlock,long,long,boolean,boolean,boolean,org.apache.hadoop.hdfs.server.datanode.DataNode,java.lang.String,org.apache.hadoop.hdfs.server.datanode.CachingStrategy)>",debug,replica= <*> 
"<org.apache.hadoop.hdfs.server.datanode.BlockSender: void <init>(org.apache.hadoop.hdfs.protocol.ExtendedBlock,long,long,boolean,boolean,boolean,org.apache.hadoop.hdfs.server.datanode.DataNode,java.lang.String,org.apache.hadoop.hdfs.server.datanode.CachingStrategy)>",warn,Could not find metadata file for  block 
"<org.apache.hadoop.hdfs.server.datanode.BlockSender: void <init>(org.apache.hadoop.hdfs.protocol.ExtendedBlock,long,long,boolean,boolean,boolean,org.apache.hadoop.hdfs.server.datanode.DataNode,java.lang.String,org.apache.hadoop.hdfs.server.datanode.CachingStrategy)>",warn,<*> :sendBlock() :  <*> 
"<org.apache.hadoop.hdfs.server.datanode.BlockSender: int sendPacket(java.nio.ByteBuffer,int,java.io.OutputStream,boolean,org.apache.hadoop.hdfs.util.DataTransferThrottler)>",error,BlockSender.sendChunks() exception: 
"<org.apache.hadoop.hdfs.server.datanode.BlockSender: int sendPacket(java.nio.ByteBuffer,int,java.io.OutputStream,boolean,org.apache.hadoop.hdfs.util.DataTransferThrottler)>",info,Failed to send data:  <*> 
"<org.apache.hadoop.hdfs.server.datanode.BlockSender: int sendPacket(java.nio.ByteBuffer,int,java.io.OutputStream,boolean,org.apache.hadoop.hdfs.util.DataTransferThrottler)>",trace,Failed to send data:
"<org.apache.hadoop.hdfs.server.datanode.BlockReceiver: void verifyChunks(java.nio.ByteBuffer,java.nio.ByteBuffer)>",info,report corrupt  <*>  from datanode  <*>  to namenode 
"<org.apache.hadoop.hdfs.server.datanode.BlockReceiver: void verifyChunks(java.nio.ByteBuffer,java.nio.ByteBuffer)>",warn,Checksum error in block  <*>  from  <*> 
"<org.apache.hadoop.hdfs.server.datanode.BlockReceiver: void verifyChunks(java.nio.ByteBuffer,java.nio.ByteBuffer)>",warn,Failed to report bad  <*>  from datanode  <*>  to namenode 
"<org.apache.hadoop.hdfs.server.datanode.BlockReceiver: void receiveBlock(java.io.DataOutputStream,java.io.DataInputStream,java.io.DataOutputStream,java.lang.String,org.apache.hadoop.hdfs.util.DataTransferThrottler,org.apache.hadoop.hdfs.protocol.DatanodeInfo[],boolean)>",info,Shutting down for restart ( <*> ). 
"<org.apache.hadoop.hdfs.server.datanode.BlockReceiver: void receiveBlock(java.io.DataOutputStream,java.io.DataInputStream,java.io.DataOutputStream,java.lang.String,org.apache.hadoop.hdfs.util.DataTransferThrottler,org.apache.hadoop.hdfs.protocol.DatanodeInfo[],boolean)>",info,Exception for  <*> 
"<org.apache.hadoop.hdfs.server.datanode.BlockReceiver: void receiveBlock(java.io.DataOutputStream,java.io.DataInputStream,java.io.DataOutputStream,java.lang.String,org.apache.hadoop.hdfs.util.DataTransferThrottler,org.apache.hadoop.hdfs.protocol.DatanodeInfo[],boolean)>",warn,Failed to delete restart meta file:  <*> 
"<org.apache.hadoop.hdfs.server.datanode.BlockReceiver: void receiveBlock(java.io.DataOutputStream,java.io.DataInputStream,java.io.DataOutputStream,java.lang.String,org.apache.hadoop.hdfs.util.DataTransferThrottler,org.apache.hadoop.hdfs.protocol.DatanodeInfo[],boolean)>",warn,<*> \n <*> 
